"participant" "timestamp" "task"
7 91.0088 "listening"
7 94.8585 "listening"
7 96.4583 "listening"
7 96.9582 "listening"
7 102.5912 "listening"
7 104.041 "listening"
7 106.7741 "listening"
7 107.9406 "listening"
7 109.2572 "listening"
7 110.1405 "listening"
7 111.6071 "listening"
7 113.3736 "listening"
7 115.29 "listening"
7 122.4895 "listening"
7 124.456 "listening"
7 125.3392 "listening"
7 126.1391 "listening"
7 126.7891 "listening"
7 128.7389 "listening"
7 130.5888 "listening"
7 132.9052 "listening"
7 140.2046 "listening"
7 143.8877 "listening"
7 145.6208 "listening"
7 148.8705 "listening"
7 150.6037 "listening"
7 151.8036 "listening"
7 152.7535 "listening"
7 153.7367 "listening"
7 155.8866 "listening"
7 160.8695 "listening"
7 161.8694 "listening"
7 163.1693 "listening"
7 164.7691 "listening"
7 165.7857 "listening"
7 167.0522 "listening"
7 168.1188 "listening"
7 169.8021 "listening"
7 173.735 "listening"
7 174.8349 "listening"
7 176.5681 "listening"
7 177.4514 "listening"
7 180.3345 "listening"
7 181.2845 "listening"
7 182.6176 "listening"
7 184.2342 "listening"
7 185.2174 "listening"
7 187.0173 "listening"
7 188.5338 "listening"
7 193.8334 "listening"
7 201.1327 "listening"
7 203.2159 "listening"
7 204.9824 "listening"
7 205.9823 "listening"
7 208.3488 "listening"
7 210.8986 "listening"
7 213.9817 "listening"
7 221.2144 "listening"
7 224.5141 "listening"
7 227.214 "listening"
7 229.2303 "listening"
7 239.5627 "listening"
7 241.596 "listening"
7 242.6126 "listening"
7 243.6791 "listening"
7 244.4623 "listening"
7 245.7623 "listening"
7 246.1455 "listening"
7 246.9455 "listening"
7 248.0454 "listening"
7 250.3452 "listening"
7 252.3284 "listening"
7 255.5115 "listening"
7 256.878 "listening"
8 0.2913 "listening"
8 1.8746 "listening"
8 2.3078 "listening"
8 4.0652 "listening"
8 21.5638 "listening"
8 26.03 "listening"
8 32.5628 "listening"
8 36.0125 "listening"
8 37.6956 "listening"
8 68.3597 "listening"
8 82.2085 "listening"
8 99.407 "listening"
8 107.523 "listening"
8 115.2057 "listening"
8 118.7554 "listening"
8 120.7219 "listening"
8 127.7046 "listening"
8 144.37 "listening"
8 168.4344 "listening"
8 177.2337 "listening"
8 204.3981 "listening"
8 206.8978 "listening"
8 208.031 "listening"
8 208.8809 "listening"
8 210.0643 "listening"
8 210.5641 "listening"
8 211.814 "listening"
8 216.747 "listening"
8 234.2954 "listening"
8 239.245 "listening"
9 2.9603 "listening"
9 7.3433 "listening"
9 15.7761 "listening"
9 19.0591 "listening"
9 29.6083 "listening"
9 34.3413 "listening"
9 44.9738 "listening"
9 49.4068 "listening"
9 82.0044 "listening"
9 87.5372 "listening"
9 94.4034 "listening"
9 95.6866 "listening"
9 101.7861 "listening"
9 109.8355 "listening"
9 111.4855 "listening"
9 114.7852 "listening"
9 117.5017 "listening"
9 119.2515 "listening"
9 122.418 "listening"
9 125.2345 "listening"
9 127.4676 "listening"
9 133.7338 "listening"
9 139.1667 "listening"
9 143.533 "listening"
9 147.4993 "listening"
9 150.6158 "listening"
9 154.1155 "listening"
9 157.6487 "listening"
9 160.6484 "listening"
9 163.1483 "listening"
9 167.8146 "listening"
9 173.0808 "listening"
9 174.5974 "listening"
9 178.7471 "listening"
9 180.9968 "listening"
